Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
2809    ,PL-VT28,80.00,81.606,84.075,4.646,85.315, 10.90 , 15.50 , 13.20 ,
2810    ,PL-VT28,80.00,79.631,80.748,4.477,82.142, 10.40 , 16.20 , 13.70 ,
2808    ,PL-VT34,90.00,85.324,88.261,5.148,89.103, 10.20 , 15.50 , 13.30 ,
2813    ,PL-VT28,80.00,78.794,80.657,4.302,81.672, 10.70 , 15.40 , 13.60 ,
2815    ,PL-DNS(BREAD),90.00,87.195,89.323,2.764,87.778, 12.00 , 15.30 , 13.25 ,
2819    ,PL-VT34,90.00,80.280,82.310,4.986,84.635, 10.50 , 15.70 , 13.50 ,
2820    ,PL-ASW,80.00,75.232,75.993,4.391,78.992, - , 14.90 , 13.70 ,
2822    ,PL-C/P(NOODLE),90.00,83.665,86.514,4.846,87.228, - , 15.10 , 13.70 ,
2824    ,PL-APW10.5%,90.00,83.323,86.08,4.243,68.627, 10.40 , - , 13.60 ,
2829    ,PL-C/P 2,90.00,84.939,87.68,4.782,88.205, 10.70 , 15.50 , 13.30 ,
2838    ,PL-C/P(NOODLE),90.00,84.590,87.520,4.961,88.275, 10.30 , 15.90 , 13.20 ,
2839    ,PL-DNS(BREAD),90.00,50.207,51.347,1.852,50.337, 11.80 , 15.20 , 13.90 ,
2844    ,PL-VT28,90.00,83.879,85.340,2.676,84.854, 12.30 , 15.20 , 13.40 ,
