Row Labels,Sum of Quatity
4141,59680
4142,74253
4143,36141
4153,67751
4157,45941
4158,1041552
4167,83724
4168,86665
4169,76103
4174,81760
4175,74189
4181,75469
4182,77103
4183,83248
4189,68471
4190,73992
4191,71942
4201,75514
4202,78856
4205,86272
4206,70807
4207,76163
4214,85815
4215,70499
4216,73058
4224,75776
4225,71555
4226,85361
4227,85725
4228,73623
4229,83294
4233,768034
4235,48867
4237,81970
4238,74640
4239,72295
4245,83807
4246,86241
4247,76062
4255,71558
4256,86481
4258,86548
4259,76072
4260,75694
4265,84674
4266,49785
4267,74453
4272,85818
4273,80174
4274,71311
4282,72101
4285,74985
4286,72431
4289,73286
4290,68795
4292,75847
4294,1198758
4297,58169
4298,73309
4299,83642
4300,81969
4309,81872
4310,74253
4311,76068
4319,84579
4320,75758
4325,81942
4326,76588
4327,50399
4328,76429
4332,76407
4333,81584
4337,72996
4338,71695
4339,74334
4340,81270
4341,74200
4350,67462
4351,76229
4352,76498
4353,73561
4354,83949
4359,71091
4363,76016
4365,724127
4372,74144
4373,83104
4374,76292
4375,69455
4376,77043
4381,74010
4383,79368
4384,82430
4385,75863
4386,77151
4390,75966
4391,70718
4392,76057
4393,73816
4394,81664
4397,72746
4398,84256
4399,74789
4404,76494
4405,75532
4406,82484
4409,75118
4410,74039
4418,72136
4419,82415
4420,74749
4433,79788
4434,70806
4435,65012
4439,81666
4440,691103
4449,84193
4450,84119
4451,81281
4452,73981
4453,82701
4454,73993
4458,80914
4459,77001
4460,49018
4466,65020
4467,72171
4468,72202
4478,82407
4484,80415
4485,70469
4486,74580
4492,56662
4493,74617
4494,74635
4499,75109
4500,81017
4501,67941
4502,77994
4503,73882
4504,78482
4513,74025
4514,68440
4515,78216
4522,76470
4523,78930
4526,58779
4530,923889
4547,71310
4548,73665
4549,78130
4555,74901
4556,84715
4557,69645
4558,70024
4559,72530
4565,81986
4566,85274
4567,77035
4575,85635
4576,81844
4577,125189
4578,74366
4579,75300
4580,76311
4581,85562
4582,74251
4583,82968
4584,83253
4585,72657
4586,74860
4596,83101
4597,74579
4598,74951
4603,87199
4604,85804
4605,85581
4606,75993
4612,123572
4614,737110
4620,70681
4621,82615
4622,72722
4628,69771
4629,83841
4630,81877
4639,71841
4642,75515
4644,85854
4645,75415
4646,74338
4653,81062
4654,73483
4655,85198
4667,84367
4668,76023
4671,76123
4672,82340
4684,81206
4685,75534
