Row Labels,Sum of Quatity
3964,-70876
3965,-63128
3970,-51659
3971,-65276
3972,-66836
3981,-40061
3982,-58923
3983,-56656
3987,-55774
3988,-51364
3989,-68531
3994,-940170
4010,-51433
4011,-52206
4012,-53760
4013,-60223
4014,-60073
4017,-49643
4018,-52781
4019,-53650
4029,-55501
4030,-60481
4031,-54718
4038,-68015
4039,-68213
4040,-57728
4044,-56467
4045,-76538
4046,-65373
4047,-62598
4050,-54659
4051,-58031
4052,-63141
4053,-65084
4054,-53050
4055,-52657
4059,-57748
4060,-72730
4061,-74298
4067,-71026
4068,-72403
4069,-50627
4075,-42901
4077,-47206
4084,-51575
4085,-52288
4086,-51848
4087,-66548
4090,-50788
4091,-76598
4092,-64631
4098,-59642
4099,-61740
4100,-62177
4106,-58028
4107,-54500
4108,-67897
4113,-50976
4114,-58762
4115,-70316
4118,-56145
4119,-52194
4120,-48272
4121,-50991
4122,-64661
4123,-61815
4125,-53508
4126,-62744
4127,-68536
4131,-53661
4132,-51367
4133,-45339
4134,-54379
4138,-46310
4139,-59257
4141,-45112
4142,-63003
4143,-31957
4153,-46330
4157,-29959
4158,-1060420
4167,-55859
4168,-52945
4169,-47875
4174,-51640
4175,-53074
4181,-67220
4182,-66381
4183,-57608
4189,-44700
4190,-60529
4191,-40220
4201,-59449
4202,-49070
4205,-54638
4206,-45487
4207,-48931
4214,-59156
4215,-51889
4216,-55829
4224,-68900
4225,-46996
4226,-74454
4227,-82777
4228,-46302
4229,-49746
4233,-784182
4235,-37816
4237,-53733
4238,-51335
4239,-52746
4245,-74579
4246,-76152
4247,-67870
4255,-50347
4256,-75907
4258,-74503
4259,-65276
4260,-64574
4265,-72660
4266,-43640
4267,-65481
4272,-50409
4273,-54489
4274,-41674
4282,-50024
4285,-67110
4286,-51001
4289,-56397
4290,-52880
4292,-71580
4294,-1217510
4297,-40552
4298,-62106
4299,-55353
4300,-55612
4309,-51229
4310,-55124
4311,-68456
4319,-69972
4320,-66947
4325,-58359
4326,-68920
4327,-30566
4328,-65265
4332,-62552
4333,-68064
4337,-54919
4338,-61785
4339,-66879
4340,-56874
4341,-51388
4350,-42253
4351,-64926
4352,-62980
4353,-47162
4354,-62727
4359,-59102
4363,-65400
4365,-727680
4372,-60187
4373,-51474
4374,-60741
4375,-45645
4376,-47947
4381,-46706
4383,-55730
4384,-55104
4385,-64676
4386,-71244
4390,-65485
4391,-58618
4392,-64874
4393,-65532
4394,-50322
4397,-64691
4398,-69582
4399,-46806
4404,-62300
4405,-67382
4406,-52487
4409,-68501
4410,-49613
4418,-50170
4419,-52453
4420,-63030
4433,-54744
4434,-51540
4435,-60902
4439,-72875
4440,-705830
4449,-72763
4450,-64923
4451,-57118
4452,-69700
4453,-57850
4454,-47288
4458,-61106
4459,-46637
4460,-43992
4466,-46307
4467,-47605
4468,-53529
4478,-48520
4484,-55090
4485,-66035
4486,-65611
4492,-50828
4493,-63280
4494,-62998
4499,-51670
4500,-59924
4501,-50062
4502,-50112
4503,-52070
4504,-54241
4513,-55000
4514,-47345
4515,-53929
4522,-53131
4523,-76319
4526,-39224
4530,-946390
4547,-65304
4548,-47441
4549,-49911
4555,-65677
4556,-71085
4557,-56603
4558,-53872
4559,-51096
4565,-54402
4566,-76458
4567,-64323
4575,-69419
4576,-63947
4577,-108144
4578,-62184
4579,-60164
4580,-60314
4581,-67747
4582,-60142
4583,-58185
4584,-60155
4585,-47174
4586,-58203
4596,-55973
4597,-56350
4598,-54743
4603,-58701
4604,-77788
4605,-80795
4606,-64383
4612,-95085
4614,-749840
4620,-60449
4621,-52717
4622,-48812
4628,-45369
4629,-58743
4630,-60791
4639,-50394
4642,-64802
4644,-75756
