PO,MaterialNO,MaterialDescription,Batch,Date,Movementtype,Storagelocation,Qtyinbaseun.+sign(MEINS),Quantity(/CWM/MEINS),Quantity,Note
2788,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220005,01/07/2023,261,3101,48255.15,0,48255.15,1
2788,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030003,01/07/2023,261,3101,2707.95,0,2707.95,1
2788,3200000008,RM-CWRS13.5-CANADA WESTERN RED SPRING13.,2210060005,01/07/2023,261,3104,4672.05,0,4672.05,1
2788,3200000008,RM-CWRS13.5-CANADA WESTERN RED SPRING13.,2210250001,01/07/2023,261,3104,22081.95,0,22081.95,1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300001,01/07/2023,261,3108,544,0,544,1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300008,01/07/2023,261,3108,14746.725,0,14746.725,1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300009,01/07/2023,261,3108,22674.7,0,22674.7,1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300010,01/07/2023,261,3108,23640,0,23640,1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2208290001,01/07/2023,261,3108,20796.575,0,20796.575,1
2789,3100000024,F3-LOW,230109002A,01/09/2023,101,3403,-5317,0,-5317,
2789,3100000074,WHEAT BRAN,230109001A,01/09/2023,101,4601,-14766,0,-14766,
2789,3100000080,Start up flour,230109001A,01/09/2023,101,3921,-2301,0,-2301,
2789,3100000132,PL-ASW,230109001A,01/09/2023,101,3408,-58575,0,-58575,
2790,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030003,01/07/2023,261,3101,9299.7,0,9299.7,1
2790,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030004,01/07/2023,261,3101,15447.3,0,15447.3,1
2790,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270007,01/07/2023,261,3105,8017.9,0,8017.9,1
2790,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270008,01/07/2023,261,3105,48403.1,0,48403.1,1
2790,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280008,01/07/2023,261,3105,1177,0,1177,1
2790,3100000011,PL-VT28,230109002A,01/09/2023,101,3402,-65461,0,-65461,
2790,3100000011,PL-VT28,230109002A,01/09/2023,101,3402,-4910,0,-4910,Start up flour (GR)
2790,3100000074,WHEAT BRAN,230109001A,01/09/2023,101,4601,-14617,0,-14617,
2790,3100000080,Start up flour,230109002A,01/09/2023,101,3921,-2935,0,-2935,
2790,3100000080,Cleaning Flour,230109002A,01/09/2023,261,3921,2029,0,2029,Start up flour (GI)
2790,3100000080,Cleaning Flour,230110001A,01/09/2023,261,3921,2510,0,2510,Start up flour (GI)
2790,3100000080,Cleaning Flour,230110002A,01/09/2023,261,3921,371,0,371,Start up flour (GI)
2790,3100000096,WIP,2211190021,01/09/2023,261,3001,11,247.5,247.5,REPROCESS
2790,3100000117,WIP,2212270010,01/09/2023,261,3001,51.75,0,51.75,REPROCESS
2790,3100000117,WIP,2301050010,01/09/2023,261,3001,136,0,136,REPROCESS
2790,3100000117,WIP,2301110010,01/09/2023,261,3001,56.35,0,56.35,REPROCESS
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270008,01/09/2023,261,3104,567.5,0,567.5,1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270009,01/09/2023,261,3104,48088.6,0,48088.6,1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270012,01/09/2023,261,3104,8200.9,0,8200.9,1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280008,01/09/2023,261,3105,5911.5,0,5911.5,1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280009,01/09/2023,261,3105,23079,0,23079,1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280010,01/09/2023,261,3105,1038.5,0,1038.5,1
2791,3100000011,PL-VT28,230110001A,01/10/2023,101,3411,-59334,0,-59334,
2791,3100000011,PL-VT28,230110001A,01/10/2023,101,3411,-530,0,-530,Start up flour (GR)
2791,3100000024,F3-LOW,230110002A,01/10/2023,101,3403,-7225,0,-7225,
2791,3100000074,WHEAT BRAN,230110001A,01/10/2023,101,4601,-15909,0,-15909,
2791,3100000080,Start up flour,230110001A,01/10/2023,101,3921,-2510,0,-2510,
2791,3100000080,Cleaning Flour,230110002A,01/10/2023,261,3921,530,0,530,Start up flour (GI)
2792,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120004,01/09/2023,261,3107,8607.95,0,8607.95,1
2792,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120005,01/09/2023,261,3107,26208.88,0,26208.88,1
2792,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120006,01/09/2023,261,3107,2146.17,0,2146.17,1
2792,3200000016,RM-NS14-NORTHERN SPRING14%,2208170009,01/09/2023,261,3108,20911.315,0,20911.315,1
2792,3200000016,RM-NS14-NORTHERN SPRING14%,2208170010,01/09/2023,261,3108,15967.685,0,15967.685,1
2792,3100000001,PL-DNS (BREAD),230110002A,01/10/2023,101,3412,-50673,0,-50673,
2792,3100000025,F3-HIGH,230110003A,01/10/2023,101,3404,-3440,0,-3440,
2792,3100000074,WHEAT BRAN,230110001A,01/10/2023,101,4601,-13824,0,-13824,
2792,3100000080,Start up flour,230110002A,01/10/2023,101,3921,-2690,0,-2690,
2793,3100000011,PL-VT28,230110001A,01/10/2023,101,3409,-60568,0,-60568,
2793,3100000011,PL-VT28,230110001A,01/10/2023,101,3409,-5393,0,-5393,Start up flour (GR)
2793,3100000074,WHEAT BRAN,230110001A,01/10/2023,101,4601,-13954,0,-13954,
2793,3100000080,Start up flour,230110003A,01/10/2023,101,3921,-2693,0,-2693,
2793,3100000080,Cleaning Flour,230110002A,01/10/2023,261,3921,1789,0,1789,Start up flour (GI)
2793,3100000080,Cleaning Flour,230110003A,01/10/2023,261,3921,2693,0,2693,Start up flour (GI)
2793,3100000080,Cleaning Flour,230111002A,01/10/2023,261,3921,911,0,911,Start up flour (GI)
2793,3100000096,WIP,2211190021,01/10/2023,261,3001,80,1800,1800,REPROCESS
2793,3100000096,WIP,2212260010,01/10/2023,261,3001,10,225,225,REPROCESS
2793,3100000096,WIP,2212260020,01/10/2023,261,3001,2,45,45,REPROCESS
2793,3100000117,WIP,2301110010,01/10/2023,261,3001,70,0,70,REPROCESS
2793,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030004,01/10/2023,261,3101,9236.8,0,9236.8,1
2793,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030005,01/10/2023,261,3101,13817.2,0,13817.2,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270008,01/10/2023,261,3104,567.5,0,567.5,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270009,01/10/2023,261,3104,48088.6,0,48088.6,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270012,01/10/2023,261,3104,4956.9,0,4956.9,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270012,01/10/2023,261,3104,15484,0,15484,
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,01/10/2023,261,3105,11504.3,0,11504.3,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270007,01/10/2023,261,3105,42108.7,0,42108.7,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280010,01/10/2023,261,3105,22501.1,0,22501.1,
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2207010003,01/10/2023,261,3105,15627.9,0,15627.9,
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270008,01/10/2023,262,3104,-567.5,0,-567.5,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270009,01/10/2023,262,3104,-48088.6,0,-48088.6,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270012,01/10/2023,262,3104,-4956.9,0,-4956.9,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,01/10/2023,262,3105,-11504.3,0,-11504.3,1
2793,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270007,01/10/2023,262,3105,-42108.7,0,-42108.7,1
2799,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209300001,01/10/2023,261,3102,17778,0,17778,
2799,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209290003,01/10/2023,261,3103,38782.1,0,38782.1,
2799,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209290004,01/10/2023,261,3103,11275.9,0,11275.9,
2799,3200000017,RM-SW10.5-SOFT WHITE10.5%,2210070004,01/10/2023,261,3108,17105,0,17105,
2799,3100000022,PL-APW 10.5%,230111001A,01/11/2023,101,3406,-56595,0,-56595,
2799,3100000024,F3-LOW,230111001A,01/11/2023,101,3403,-7123,0,-7123,
2799,3100000074,WHEAT BRAN,230111001A,01/11/2023,101,4601,-14129,0,-14129,
2799,3100000080,Start up flour,230111001A,01/11/2023,101,3921,-2563,0,-2563,
2800,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030005,01/10/2023,261,3101,10059.2,0,10059.2,1
