Order,Material,Material Description,Batch,Posting Date,Movement type,Storage location,Qty in base un. + sign (MEINS),Quantity (/CWM/MEINS),Quatity,Unloading Point
2766,3100000080,Cleaning Flour,221224001A,23-01-05,261,3921,"1,195.000",0.000,"1,195.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,221224002A,23-01-05,261,3921,"3,965.000",0.000,"3,965.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,230104001A,23-01-05,261,3921,"3,203.000",0.000,"3,203.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,230105001A,23-01-05,261,3921,838.000,0.000,838.000,CLEANING FLOUR
2766,3100000080,Cleaning Flour,221224001A,23-01-05,262,3921,"-1,195.000",0.000,"-1,195.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,221224002A,23-01-05,262,3921,"-3,965.000",0.000,"-3,965.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,230104001A,23-01-05,262,3921,"-3,203.000",0.000,"-3,203.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,230105001A,23-01-05,262,3921,-838.000,0.000,-838.000,CLEANING FLOUR
2766,3100000117,WIP (BULK),2212260010,23-01-05,261,3001,113.000,0.000,113.000,REPROCESS
2766,3100000117,WIP (BULK),2212270020,23-01-05,261,3001,56.430,0.000,56.430,REPROCESS
2766,3100000117,WIP (BULK),2212260010,23-01-05,262,3001,-113.000,0.000,-113.000,REPROCESS
2766,3100000117,WIP (BULK),2212270020,23-01-05,262,3001,-56.430,0.000,-56.430,REPROCESS
2768,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209290004,23-01-06,261,3102,"9,603.650",0.000,"9,603.650",1
2768,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209290005,23-01-06,261,3102,"51,239.700",0.000,"51,239.700",1
2768,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209300001,23-01-06,261,3102,"8,490.650",0.000,"8,490.650",1
2768,3200000017,RM-SW10.5-SOFT WHITE10.5%,2210070002,23-01-06,261,3107,"2,903.275",0.000,"2,903.275",1
2768,3200000017,RM-SW10.5-SOFT WHITE10.5%,2210070003,23-01-06,261,3107,"14,407.725",0.000,"14,407.725",1
2768,3100000022,PL-APW 10.5%,230107002A,23-01-07,101,3406,"-59,832.000",0.000,"-59,832.000",
2768,3100000024,F3-LOW,230107002A,23-01-07,101,3403,"-5,512.000",0.000,"-5,512.000",
2768,3100000074,WHEAT BRAN,230107002A,23-01-07,101,4601,"-13,630.000",0.000,"-13,630.000",
2768,3100000080,Start up flour,230107002A,23-01-07,101,3921,"-2,570.000",0.000,"-2,570.000",
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120003,23-01-05,261,3107,"21,248.570",0.000,"21,248.570",1
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120004,23-01-05,261,3107,"17,502.430",0.000,"17,502.430",1
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2212140008,23-01-05,261,3107,"16,799.100",0.000,"16,799.100",1
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2212140009,23-01-05,261,3107,"12,550.900",0.000,"12,550.900",1
2769,3100000001,PL-DNS (BREAD),230106001A,23-01-06,101,3405,"-47,166.000",0.000,"-47,166.000",
2769,3100000025,F3-HIGH,230106002A,23-01-06,101,3404,"-3,405.000",0.000,"-3,405.000",
2769,3100000074,WHEAT BRAN,230106001A,23-01-06,101,4601,"-14,336.000",0.000,"-14,336.000",
2769,3100000080,Start up flour,230106001A,23-01-06,101,3921,"-2,632.000",0.000,"-2,632.000",
2770,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220003,23-01-05,261,3101,"26,977.000",0.000,"26,977.000",1
2770,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270002,23-01-05,261,3105,"13,765.700",0.000,"13,765.700",1
2770,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270003,23-01-05,261,3105,"49,345.300",0.000,"49,345.300",1
2770,3100000011,PL-VT28,230106002A,23-01-06,101,3402,"-67,465.000",0.000,"-67,465.000",
2770,3100000011,PL-VT28,230106002A,23-01-06,101,3402,"-6,036.000",0.000,"-6,036.000",º ¡Start up flour (GR)
2770,3100000074,WHEAT BRAN,230106002A,23-01-06,101,4601,"-15,149.000",0.000,"-15,149.000",
2770,3100000080,Start up flour,230106003A,23-01-06,101,3921,"-2,694.000",0.000,"-2,694.000",
2770,3100000080,Cleaning Flour,230106003A,23-01-06,261,3921,"2,239.000",0.000,"2,239.000",CLEANING FLOUR
2770,3100000080,Cleaning Flour,230107002A,23-01-06,261,3921,"2,570.000",0.000,"2,570.000",CLEANING FLOUR
2770,3100000080,Cleaning Flour,230107004A,23-01-06,261,3921,"1,227.000",0.000,"1,227.000",CLEANING FLOUR
2770,3100000096,WIP ·ªÈß,2211020071,23-01-06,261,3001,16.000,360.000,360.000,REPROCESS
2770,3100000096,WIP ·ªÈß,2211040031,23-01-06,261,3001,4.000,90.000,90.000,REPROCESS
2770,3100000096,WIP ·ªÈß,2211170021,23-01-06,261,3001,1.000,22.500,22.500,REPROCESS
2770,3100000096,WIP ·ªÈß,2211190021,23-01-06,261,3001,29.000,652.500,652.500,REPROCESS
2772,3100000013,PL-VT34,230105002A,23-01-05,101,3401,"-52,611.000",0.000,"-52,611.000",
2772,3100000013,PL-VT34,230105002A,23-01-05,101,3401,"-4,450.000",0.000,"-4,450.000",º ¡Start up flour (GR)
2772,3100000013,PL-VT34,230105002A,23-01-05,101,3409,"-19,265.000",0.000,"-19,265.000",
2772,3100000074,WHEAT BRAN,230105002A,23-01-05,101,4601,"-15,408.000",0.000,"-15,408.000",
2772,3100000080,Cleaning Flour,230105001A,23-01-05,261,3921,"1,363.000",0.000,"1,363.000",CLEANING FLOUR
2772,3100000080,Cleaning Flour,230106001A,23-01-05,261,3921,"2,632.000",0.000,"2,632.000",CLEANING FLOUR
2772,3100000080,Cleaning Flour,230106003A,23-01-05,261,3921,455.000,0.000,455.000,CLEANING FLOUR
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,23-01-05,261,3101,"23,081.000",0.000,"23,081.000",1
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220001,23-01-05,261,3101,"5,657.350",0.000,"5,657.350",1
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220002,23-01-05,261,3101,"48,343.800",0.000,"48,343.800",1
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220003,23-01-05,261,3101,"11,937.850",0.000,"11,937.850",1
2780,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220003,23-01-06,261,3101,"9,261.500",0.000,"9,261.500",1
2780,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220004,23-01-06,261,3101,"13,815.500",0.000,"13,815.500",1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270003,23-01-06,261,3105,134.900,0.000,134.900,1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270004,23-01-06,261,3105,"24,676.400",0.000,"24,676.400",1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270005,23-01-06,261,3105,"24,539.200",0.000,"24,539.200",1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,23-01-06,261,3105,"4,315.500",0.000,"4,315.500",1
2780,3100000011,PL-VT28,230107001A,23-01-07,101,3402,"-62,550.000",0.000,"-62,550.000",
2780,3100000074,WHEAT BRAN,230107001A,23-01-07,101,4601,"-13,385.000",0.000,"-13,385.000",
2781,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220004,23-01-06,261,3101,"22,932.000",0.000,"22,932.000",1
2781,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,23-01-06,261,3105,"11,504.300",0.000,"11,504.300",1
2781,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270007,23-01-06,261,3105,"41,932.700",0.000,"41,932.700",1
2781,3100000011,PL-VT28,230107003A,23-01-07,101,3402,"-59,718.000",0.000,"-59,718.000",
2781,3100000011,PL-VT28,230107003A,23-01-07,101,3402,"-4,668.000",0.000,"-4,668.000",º ¡Start up flour (GR)
2781,3100000074,WHEAT BRAN,230107002A,23-01-07,101,4601,"-12,888.000",0.000,"-12,888.000",
2781,3100000080,Start up flour,230107003A,23-01-07,101,3921,"-2,298.000",0.000,"-2,298.000",
2781,3100000080,Cleaning Flour,230107004A,23-01-07,261,3921,"1,461.000",0.000,"1,461.000",CLEANING FLOUR
2781,3100000080,Cleaning Flour,230109001A,23-01-07,261,3921,"2,301.000",0.000,"2,301.000",CLEANING FLOUR
2781,3100000080,Cleaning Flour,230109002A,23-01-07,261,3921,906.000,0.000,906.000,CLEANING FLOUR
2781,3100000117,WIP (BULK),2210010022,23-01-07,261,3001,20.000,0.000,20.000,REPROCESS
2781,3100000117,WIP (BULK),2211070011,23-01-07,261,3001,25.000,0.000,25.000,REPROCESS
2781,3100000117,WIP (BULK),2211230021,23-01-07,261,3001,50.000,0.000,50.000,REPROCESS
2781,3100000117,WIP (BULK),2212270020,23-01-07,261,3001,56.570,0.000,56.570,REPROCESS
2781,3100000117,WIP (BULK),2212020021,23-01-07,261,3001,325.000,0.000,325.000,REPROCESS
2781,3100000117,WIP (BULK),2212170031,23-01-07,261,3001,25.000,0.000,25.000,REPROCESS
2781,3100000117,WIP (BULK),2212230010,23-01-07,261,3001,48.170,0.000,48.170,REPROCESS
2781,3100000117,WIP (BULK),2212230020,23-01-07,261,3001,113.000,0.000,113.000,REPROCESS
2781,3100000117,WIP (BULK),2212260031,23-01-07,261,3001,25.000,0.000,25.000,REPROCESS
2781,3100000117,WIP (BULK),2212270010,23-01-07,261,3001,136.750,0.000,136.750,REPROCESS
2788,3100000025,F3-HIGH,230107005A,23-01-07,101,3404,"-5,256.000",0.000,"-5,256.000",
2788,3100000074,WHEAT BRAN,230107002A,23-01-07,101,4601,"-16,356.000",0.000,"-16,356.000",
2788,3100000080,Start up flour,230107004A,23-01-07,101,3921,"-2,688.000",0.000,"-2,688.000",
2788,3100000145,PL-C/P 2,230107004A,23-01-07,101,3407,"-62,392.000",0.000,"-62,392.000",
2788,3100000145,PL-C/P 2,230107004A,23-01-07,101,3921,"-2,688.000",0.000,"-2,688.000",
2788,3100000145,PL-C/P 2,230107004A,23-01-07,102,3921,"2,688.000",0.000,"2,688.000",
2788,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220004,23-01-07,261,3101,"11,556.900",0.000,"11,556.900",1
2788,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220005,23-01-07,261,3101,"48,255.150",0.000,"48,255.150",1
2788,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030003,23-01-07,261,3101,"2,707.950",0.000,"2,707.950",1
2788,3200000008,RM-CWRS13.5-CANADA WESTERN RED SPRING13.,2210060005,23-01-07,261,3104,"4,672.050",0.000,"4,672.050",1
2788,3200000008,RM-CWRS13.5-CANADA WESTERN RED SPRING13.,2210250001,23-01-07,261,3104,"22,081.950",0.000,"22,081.950",1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300001,23-01-07,261,3108,544.000,0.000,544.000,1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300008,23-01-07,261,3108,"14,746.725",0.000,"14,746.725",1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300009,23-01-07,261,3108,"22,674.700",0.000,"22,674.700",1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2207300010,23-01-07,261,3108,"23,640.000",0.000,"23,640.000",1
2789,3200000007,RM-ASW-AUSTRALIAN STANDARD WHITE,2208290001,23-01-07,261,3108,"20,796.575",0.000,"20,796.575",1
2789,3100000024,F3-LOW,230109002A,23-01-09,101,3403,"-5,317.000",0.000,"-5,317.000",
2789,3100000074,WHEAT BRAN,230109001A,23-01-09,101,4601,"-14,766.000",0.000,"-14,766.000",
2789,3100000080,Start up flour,230109001A,23-01-09,101,3921,"-2,301.000",0.000,"-2,301.000",
2789,3100000132,PL-ASW,230109001A,23-01-09,101,3408,"-58,575.000",0.000,"-58,575.000",
2790,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030003,23-01-07,261,3101,"9,299.700",0.000,"9,299.700",1
2790,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2212030004,23-01-07,261,3101,"15,447.300",0.000,"15,447.300",1
2790,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270007,23-01-07,261,3105,"8,017.900",0.000,"8,017.900",1
2790,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270008,23-01-07,261,3105,"48,403.100",0.000,"48,403.100",1
2790,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280008,23-01-07,261,3105,"1,177.000",0.000,"1,177.000",1
2790,3100000011,PL-VT28,230109002A,23-01-09,101,3402,"-65,461.000",0.000,"-65,461.000",
2790,3100000011,PL-VT28,230109002A,23-01-09,101,3402,"-4,910.000",0.000,"-4,910.000",º ¡Start up flour (GR)
2790,3100000074,WHEAT BRAN,230109001A,23-01-09,101,4601,"-14,617.000",0.000,"-14,617.000",
2790,3100000080,Start up flour,230109002A,23-01-09,101,3921,"-2,935.000",0.000,"-2,935.000",
2790,3100000080,Cleaning Flour,230109002A,23-01-09,261,3921,"2,029.000",0.000,"2,029.000",CLEANING FLOUR
2790,3100000080,Cleaning Flour,230110001A,23-01-09,261,3921,"2,510.000",0.000,"2,510.000",CLEANING FLOUR
2790,3100000080,Cleaning Flour,230110002A,23-01-09,261,3921,371.000,0.000,371.000,CLEANING FLOUR
2790,3100000096,WIP ·ªÈß,2211190021,23-01-09,261,3001,11.000,247.500,247.500,REPROCESS
2790,3100000117,WIP (BULK),2212270010,23-01-09,261,3001,51.750,0.000,51.750,REPROCESS
2790,3100000117,WIP (BULK),2301050010,23-01-09,261,3001,136.000,0.000,136.000,REPROCESS
2790,3100000117,WIP (BULK),2301110010,23-01-09,261,3001,56.350,0.000,56.350,REPROCESS
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270008,23-01-09,261,3104,567.500,0.000,567.500,1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270009,23-01-09,261,3104,"48,088.600",0.000,"48,088.600",1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270012,23-01-09,261,3104,"8,200.900",0.000,"8,200.900",1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280008,23-01-09,261,3105,"5,911.500",0.000,"5,911.500",1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280009,23-01-09,261,3105,"23,079.000",0.000,"23,079.000",1
2791,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280010,23-01-09,261,3105,"1,038.500",0.000,"1,038.500",1
2791,3100000011,PL-VT28,230110001A,23-01-10,101,3411,"-59,334.000",0.000,"-59,334.000",
2791,3100000011,PL-VT28,230110001A,23-01-10,101,3411,-530.000,0.000,-530.000,º ¡Start up flour (GR)
2791,3100000024,F3-LOW,230110002A,23-01-10,101,3403,"-7,225.000",0.000,"-7,225.000",
2791,3100000074,WHEAT BRAN,230110001A,23-01-10,101,4601,"-15,909.000",0.000,"-15,909.000",
2791,3100000080,Start up flour,230110001A,23-01-10,101,3921,"-2,510.000",0.000,"-2,510.000",
2791,3100000080,Cleaning Flour,230110002A,23-01-10,261,3921,530.000,0.000,530.000,CLEANING FLOUR
2792,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120004,23-01-09,261,3107,"8,607.950",0.000,"8,607.950",1
2792,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120005,23-01-09,261,3107,"26,208.880",0.000,"26,208.880",1
2792,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120006,23-01-09,261,3107,"2,146.170",0.000,"2,146.170",1
2792,3200000016,RM-NS14-NORTHERN SPRING14%,2208170009,23-01-09,261,3108,"20,911.315",0.000,"20,911.315",1
2792,3200000016,RM-NS14-NORTHERN SPRING14%,2208170010,23-01-09,261,3108,"15,967.685",0.000,"15,967.685",1
2792,3100000001,PL-DNS (BREAD),230110002A,23-01-10,101,3412,"-50,673.000",0.000,"-50,673.000",
2792,3100000025,F3-HIGH,230110003A,23-01-10,101,3404,"-3,440.000",0.000,"-3,440.000",
2792,3100000074,WHEAT BRAN,230110001A,23-01-10,101,4601,"-13,824.000",0.000,"-13,824.000",
2792,3100000080,Start up flour,230110002A,23-01-10,101,3921,"-2,690.000",0.000,"-2,690.000",
2793,3100000011,PL-VT28,230110001A,23-01-10,101,3409,"-60,568.000",0.000,"-60,568.000",
2793,3100000011,PL-VT28,230110001A,23-01-10,101,3409,"-5,393.000",0.000,"-5,393.000",º ¡Start up flour (GR)
2793,3100000074,WHEAT BRAN,230110001A,23-01-10,101,4601,"-13,954.000",0.000,"-13,954.000",
2793,3100000080,Start up flour,230110003A,23-01-10,101,3921,"-2,693.000",0.000,"-2,693.000",
2793,3100000080,Cleaning Flour,230110002A,23-01-10,261,3921,"1,789.000",0.000,"1,789.000",CLEANING FLOUR
2793,3100000080,Cleaning Flour,230110003A,23-01-10,261,3921,"2,693.000",0.000,"2,693.000",CLEANING FLOUR
2793,3100000080,Cleaning Flour,230111002A,23-01-10,261,3921,911.000,0.000,911.000,CLEANING FLOUR
2793,3100000096,WIP ·ªÈß,2211190021,23-01-10,261,3001,80.000,"1,800.000","1,800.000",REPROCESS
