Row Labels,Sum of Quatity
4372,-1763
4373,-2417
4374,-2578
4375,-2365
4376,-2376
4381,-2427
4383,-2181
4384,-4363
4385,-2999
4390,-2984
4392,-3074
4393,-2834
4394,-2192
4397,-662
4398,-2774
4399,-2452
4404,-2754
4405,-2280
4406,-2033
4409,-1499
4410,-2393
4418,-2620
4419,-2456
4433,-2870
4439,-2083
4449,-1974
4450,-3019
4451,-2676
4452,-660
4453,-2531
4454,-2270
4458,-2695
4459,-2484
4460,-3014
4466,-2696
4467,-3744
4478,-2422
4484,-2411
4492,-3070
4493,-1373
4494,-2065
4499,-2296
4501,-2618
4502,-2329
4503,-2591
4504,-2757
4513,-2311
4514,-4624
4515,-2697
4522,-2685
4526,-2387
4547,-2100
4548,-2358
4549,-2639
4555,-2816
4558,-2514
4559,-2619
4565,-2455
4577,-2696
4578,-2358
4583,-2503
4584,-2602
4585,-2056
4586,-2663
4596,-2572
4598,-1709
4603,-2392
4620,-2597
4621,-2329
4622,-2515
4628,-2481
4629,-2727
4639,-2594
4667,-861
4672,-2147
4687,-4909
4694,-3079
4697,-3532
4698,-2158
4699,-2698
4700,-2786
4701,-2847
4702,-3145
4717,-3229
4725,-3081
4728,-2428
4730,-3280
4731,-2541
4739,-2019
4740,-2882
4741,-2336
4742,-2334
4748,-2295
4749,-2537
4771,-3088
4772,-2960
4773,-902
4787,-3181
4790,-2728
4792,-3411
4797,-1340.01
4812,-2999
4813,-2937
4814,-3372
4824,-2953
4825,-3358
4831,-1162
4832,-3124
4844,-2549
4845,-3180
4846,-2779
4847,-2667
4857,-3747
4861,-2574
4863,-3115
4865,-2396
4876,-2456
4877,-3163
4878,-3351
4880,-1139
4881,-3125
4885,-6846
4890,-1878
4891,-1183
4892,-1602
4899,-3028
4907,-2061
4908,-2990
4914,-3094
4918,-3043
4919,-2540
4920,-2902
4921,-3067
4922,-1781
4951,-2634
4956,-3269
4965,-3074
4977,-2222
4987,-1875
4988,-1962
4989,-2729
4990,-2447
4991,-2279
4992,-2700
4997,-150
5004,-1440
5010,-2310
5011,-1106
5012,-1918
5017,-2399
5018,-2009
5019,-3093
5026,-2956
5031,-3142
5034,-2973
5035,-3006
5036,-2580
5037,-2308
5045,-2515
5046,-2940
5054,-2369
5055,-2445
5057,-2670
5084,-2820
5086,-1707
5087,-2428
5088,-3776
5089,-810
5098,-2490
5101,-2254
5104,-3020
5105,-2321
5106,-2368
5107,-2488
5108,-2804
5117,-2789
5118,-2486
5119,-1854
5127,-735
Grand Total,-1589252.01
