Row Labels,Sum of Quatity
3971,-13703
3972,-13571
3981,-11136
3982,-13350
3983,-15667
3987,-14370
3988,-12562
3989,-15238
4010,-12865
4011,-14950
4012,-14377
4013,-14651
4014,-13772
4017,-14004
4018,-13929
4019,-14593
4029,-14587
4030,-14843
4031,-12202
4038,-14014
4039,-16333
4040,-12306
4044,-15563
4045,-16016
4046,-14095
4047,-14521
4050,-14719
4051,-13233
4052,-14254
4053,-14063
4054,-14460
4055,-14014
4059,-12468
4060,-15702
4061,-15798
4067,-16057
4068,-15173
4069,-12957
4075,-11265
4077,-12490
4084,-14828
4085,-12360
4086,-13824
4087,-14528
4090,-13803
4091,-16501
4092,-15000
4098,-15284
4099,-14830
4100,-14874
4106,-15857
4107,-14098
4108,-14280
4113,-13849
4114,-14498
4115,-14246
4118,-14870
4119,-12012
4120,-12808
4121,-12911
4122,-14507
4123,-15099
4125,-14814
4126,-14802
4127,-15153
4131,-12508
4132,-14119
4133,-11906
4134,-12452
4138,-12224
4139,-15493
4141,-10471
4142,-12940
4143,-6524
4153,-12762
4157,-7998
4167,-14232
4168,-14276
4169,-13059
4174,-14112
4175,-13412
4181,-14935
4182,-15311
4183,-15687
4189,-11741
4190,-13144
4191,-12300
4201,-14433
4202,-13510
4205,-14875
4206,-11961
4207,-12857
4214,-16143
4215,-13762
4216,-13286
4224,-14836
4225,-13221
4226,-16027
4227,-16278
4228,-13212
4229,-14395
4235,-9017
4237,-15157
4238,-13967
4239,-13630
4245,-16079
4246,-16067
4247,-14008
4255,-13511
4256,-15947
4258,-15663
4259,-14275
4260,-14049
4265,-15970
4266,-9530
4267,-14096
4272,-14964
4273,-13984
4274,-11523
4282,-13455
4285,-14033
4286,-13776
4289,-13186
4290,-13621
4292,-14282
4297,-10813
4298,-13756
4299,-15008
4300,-15003
4309,-14102
4310,-13458
4311,-14212
4319,-15648
4320,-14217
4325,-15679
4326,-14427
4327,-8634
4328,-14642
4332,-14429
4333,-15842
4337,-14899
4338,-13506
4339,-14664
4340,-15403
4341,-13913
4350,-11954
4351,-14947
4352,-14931
4353,-12749
4354,-16316
4359,-14055
4363,-14372
4372,-13987
4373,-14268
4374,-13787
4375,-12268
4376,-13954
4381,-13797
4383,-14722
4384,-15849
4385,-14489
4386,-14893
4390,-14201
4391,-13577
4392,-14987
4393,-14611
4394,-14492
4397,-14058
4398,-16436
4399,-13553
4404,-14892
4405,-14497
4406,-14598
4409,-14757
4410,-12963
4418,-13832
4419,-15058
4420,-16957
4433,-15478
4434,-14080
4435,-12461
4439,-15603
4449,-15995
4450,-15266
4451,-15831
4452,-13827
4453,-15255
4454,-13743
4458,-14376
4459,-13788
4460,-9321
4466,-11143
4467,-14047
4468,-14740
4478,-14868
4484,-16630
4485,-13618
4486,-16458
4492,-12329
4493,-16572
4494,-17192
4499,-14618
4500,-15809
4501,-12164
4502,-13655
4503,-12810
4504,-13940
4513,-13806
4514,-12959
4515,-14748
4522,-15049
4523,-16308
4526,-11916
4547,-14405
4548,-12840
4549,-13815
4555,-14904
4556,-18746
4557,-15432
4558,-13202
4559,-14456
4565,-15308
4566,-16845
4567,-16399
4575,-18955
4576,-18117
4577,-26667
4578,-14090
4579,-16744
4580,-16298
4581,-19349
4582,-16888
4583,-16751
4584,-16570
4585,-12446
4586,-14598
4596,-15445
4597,-15094
4598,-14294
4603,-16812
4604,-16885
4605,-16685
4606,-14652
4612,-24713
4620,-15501
4621,-14545
4622,-13940
4628,-13450
4629,-16133
4630,-16288
4639,-14087
4642,-14995
4644,-17627
4645,-15098
4646,-14993
4653,-16042
4654,-14469
4655,-18237
4667,-17331
4668,-15349
4671,-15613
4672,-16180
4684,-16846
4685,-15396
4687,-28117
4694,-16240
4695,-17465
4697,-14912
4698,-14616
4699,-14853
4700,-15533
4701,-15708
4702,-16273
4707,-18087
4708,-16258
4709,-14291
4717,-15147
4718,-14644
4723,-17247
4724,-14587
4725,-16303
4728,-14513
4730,-14421
4731,-15600
4737,-18211
4738,-19990
4739,-14370
4740,-15560
4741,-16668
4742,-14374
4748,-13474
4749,-14686
4770,-12824
4771,-16119
4772,-14971
4773,-14144
4787,-13790
4788,-14210
4790,-17418
4792,-14307
4797,-24432
4798,-15500.01
4799,-12681.01
4801,-15769.01
4802,-15010.01
4803,-15234
4812,-14493
4813,-16642
4814,-17960
4823,-6862
4824,-11289
4825,-17505
4831,-15592
4832,-18224
4844,-39881
4845,-18895
4846,-18684
4847,-7875
4857,-17794
4858,-14572
4861,-13383
4863,-13829
4864,-13609
4865,-14793
4871,-15531
4872,-13677
4873,-13970
4876,-14023
4877,-14007
4878,-16251
4879,-17291
4880,-15854
4881,-14137
4885,-13644
4890,-14070
4891,-7530
4892,-8014
4898,-15102
4899,-14586
4907,-15026
4908,-13741
4909,-14380
4914,-16529
4915,-14481
4916,-14128
4917,-14838
4918,-16126
4919,-10632
4920,-17609
4921,-17868
4922,-10516
4951,-15839
4953,-15463
4954,-18265
4956,-9648
4965,-14490
4977,-16841
4978,-16371
4979,-18643
4984,-16088
4985,-14220
4987,-9011
4988,-14609
4989,-18334
4990,-12997
4991,-13695
4992,-17271
4997,-14395
5004,-13655
5010,-16192
5011,-14962
5012,-15324
5017,-14463
5018,-15599
5019,-14331
5024,-14690
5025,-14657
5026,-16954
5031,-14410
5033,-17440
5034,-13693
5035,-14256
5036,-15275
5037,-15061
5045,-17715
5046,-15568
5047,-11066
5053,-15187
5054,-14856
5055,-13084
5057,-22858
5058,-16529
5084,-15838
5086,-15054
5087,-12973
5088,-16023
5089,-14724
5090,-15633
5091,-15537
5092,-14275
5098,-13745
5100,-15397
5101,-17687
5103,-15773
5104,-13768
5105,-13741
5106,-15232
5107,-12829
5108,-16019
5117,-15754
5118,-14489
5119,-14928
5126,-16628
5127,-17135
